,0,1,2
0,Brain,m6A-CLIP-seq,0.6301979168840843
1,Brain,m6A-REF-seq,0.5452370225310714
2,Brain,"m6A-seq
(improved)",0.8003297891159649
3,EB,MAZTER-seq,0.8553771879637305
4,ESC,MAZTER-seq,0.8700848676928323
5,ESC,m6A-CLIP-seq,0.6328097841038921
6,ESC,m6A-REF-seq,0.7759534318346367
7,ESC,m6A-seq2,0.8033380511087318
8,Heart,m6A-REF-seq,0.5045371485542892
9,Kidney,m6A-REF-seq,0.6043985142515578
10,Liver,m6A-CLIP-seq,0.7399131381779819
11,Liver,m6A-REF-seq,0.5916233892815066
12,Liver,miCLIP ,0.8006779405047316
13,MEFs,miCLIP ,0.6529054232065518
14,Skin,miCLIP ,0.41496276241298136
15,Testis,m6A-REF-seq,0.6076872407306686
16,Testis,miCLIP ,0.5169321816117822
17,DRG,m6A-CLIP-seq,0.42692963320902827
18,Macrophages,miCLIP2,0.7314734960565041
